,id,species,island,sex,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
0,1569,Adelie,Torgersen,Male,41.1,18.6,189.0,3325.0
1,1295,Chinstrap,Dream,Female,46.7,17.9,195.0,3300.0
2,1445,Gentoo,Biscoe,Female,45.8,14.2,219.0,4700.0
3,1962,Adelie,Dream,Male,40.3,18.5,196.0,4350.0
4,1452,Gentoo,Biscoe,,44.5,14.3,216.0,4100.0
5,1622,Chinstrap,Dream,Female,45.9,17.1,190.0,3575.0
6,1354,Gentoo,Biscoe,Male,45.2,16.4,223.0,5950.0
7,1060,Adelie,Dream,Male,37.8,18.1,193.0,3750.0
8,1397,Gentoo,Biscoe,Female,47.7,15.0,216.0,4750.0
9,1910,Adelie,Torgersen,Male,39.2,19.6,195.0,4675.0
10,1747,Gentoo,Biscoe,Female,44.9,13.3,213.0,5100.0
11,1606,Gentoo,Biscoe,Male,46.1,15.1,215.0,5100.0
12,1478,Gentoo,Biscoe,Female,49.1,14.5,212.0,4625.0
13,1807,Gentoo,Biscoe,Male,49.2,15.2,221.0,6300.0
14,1207,Adelie,Dream,Male,39.6,18.8,190.0,4600.0
15,1643,Chinstrap,Dream,Female,45.2,17.8,198.0,3950.0
16,1105,Adelie,Dream,Male,40.6,17.2,187.0,3475.0
17,1470,Adelie,Biscoe,Male,42.0,19.5,200.0,4050.0
18,1306,Chinstrap,Dream,Female,46.4,18.6,190.0,3450.0
19,1789,Gentoo,Biscoe,Male,52.1,17.0,230.0,5550.0
20,1807,Gentoo,Biscoe,Male,49.2,15.2,221.0,6300.0
21,1250,Chinstrap,Dream,Male,49.6,18.2,193.0,3775.0
22,1960,Chinstrap,Dream,Male,49.5,19.0,200.0,3800.0
23,1084,Gentoo,Biscoe,Female,46.4,15.0,216.0,4700.0
24,1349,Adelie,Dream,Female,40.2,17.1,193.0,3400.0
25,1868,Gentoo,Biscoe,Female,44.5,14.7,214.0,4850.0
26,1438,Chinstrap,Dream,Female,46.6,17.8,193.0,3800.0
27,1256,Chinstrap,Dream,Male,51.3,18.2,197.0,3750.0
28,1937,Chinstrap,Dream,Female,40.9,16.6,187.0,3200.0
29,1990,Gentoo,Biscoe,Female,47.5,14.0,212.0,4875.0
30,1573,Gentoo,Biscoe,Female,50.5,15.2,216.0,5000.0
31,1355,Gentoo,Biscoe,Male,50.0,16.3,230.0,5700.0
32,1027,Gentoo,Biscoe,Female,46.1,13.2,211.0,4500.0
33,1502,Gentoo,Biscoe,Male,49.6,15.0,216.0,4750.0
34,1614,Chinstrap,Dream,Female,50.5,18.4,200.0,3400.0
35,1587,Gentoo,Biscoe,,47.3,13.8,216.0,4725.0
36,1589,Adelie,Biscoe,Male,41.3,21.1,195.0,4400.0
37,1182,Gentoo,Biscoe,Male,50.0,15.9,224.0,5350.0
38,1391,Adelie,Torgersen,Female,36.7,19.3,193.0,3450.0
39,1179,Chinstrap,Dream,Female,45.7,17.3,193.0,3600.0
40,1480,Adelie,Dream,Male,40.9,18.9,184.0,3900.0
41,1040,Gentoo,Biscoe,Male,46.7,15.3,219.0,5200.0
42,1651,Gentoo,Biscoe,Female,46.2,14.5,209.0,4800.0
43,1694,Chinstrap,Dream,Female,46.0,18.9,195.0,4150.0
44,1855,Gentoo,Biscoe,Male,4.84,1.6300000000000001,22.0,5400.0
45,1333,Adelie,Dream,Female,37.3,16.8,192.0,3000.0
46,1115,Gentoo,Biscoe,Male,52.2,17.1,228.0,5400.0
47,1138,Adelie,Dream,Male,44.1,19.7,196.0,4400.0
48,1032,Adelie,Biscoe,Male,41.1,19.1,188.0,4100.0
49,1639,Adelie,Biscoe,Male,38.2,18.1,185.0,3950.0
50,1063,Adelie,Torgersen,Male,46.0,21.5,194.0,4200.0
51,1643,Chinstrap,Dream,Female,45.2,17.8,198.0,3950.0
52,1815,Chinstrap,Dream,Male,48.5,17.5,191.0,3400.0
53,1208,Adelie,Biscoe,Male,38.8,17.2,180.0,3800.0
54,1816,Gentoo,Biscoe,Male,51.3,14.2,218.0,5300.0
55,1841,Gentoo,Biscoe,Female,44.9,13.8,212.0,4750.0
56,1673,Chinstrap,Dream,Female,43.5,18.1,202.0,3400.0
57,1301,Adelie,Torgersen,Female,38.7,19.0,195.0,3450.0
58,1551,Adelie,Dream,Male,41.5,18.5,201.0,4000.0
59,1910,Adelie,Torgersen,Male,39.2,19.6,195.0,4675.0
60,1586,Adelie,Dream,Female,32.1,15.5,188.0,3050.0
61,1771,Gentoo,Biscoe,Female,42.9,13.1,215.0,5000.0
62,1449,Adelie,Biscoe,Female,37.9,18.6,193.0,2925.0
63,1936,Adelie,Dream,Female,36.8,18.5,193.0,3500.0
64,1414,Gentoo,Biscoe,Male,46.3,15.8,215.0,5050.0
65,1877,Chinstrap,Dream,Male,50.8,19.0,210.0,4100.0
66,1912,Gentoo,Biscoe,Male,50.7,15.0,223.0,5550.0
67,1236,Adelie,Biscoe,Female,38.6,17.2,199.0,3750.0
68,1606,Gentoo,Biscoe,Male,46.1,15.1,215.0,5100.0
69,1160,Adelie,Dream,Male,36.3,19.5,190.0,3800.0
70,1127,Gentoo,Biscoe,Male,45.0,15.4,220.0,5050.0
71,1884,Chinstrap,Dream,Female,46.2,17.5,187.0,3650.0
72,1137,Gentoo,Biscoe,Female,45.3,13.7,210.0,4300.0
73,1429,Chinstrap,Dream,Female,50.9,17.9,196.0,3675.0
74,1397,Gentoo,Biscoe,Female,47.7,15.0,216.0,4750.0
75,1895,Gentoo,Biscoe,Male,50.4,15.3,224.0,5550.0
76,1279,Gentoo,Biscoe,Female,45.3,13.8,208.0,4200.0
77,1830,Gentoo,Biscoe,Male,46.8,15.4,215.0,5150.0
78,1813,Adelie,Torgersen,Female,38.6,17.0,188.0,2900.0
79,1140,Adelie,Torgersen,Female,41.1,17.6,182.0,3200.0
80,1871,Adelie,Dream,Female,33.1,16.1,178.0,2900.0
81,1921,Gentoo,Biscoe,Male,52.5,15.6,221.0,5450.0
82,1918,Chinstrap,Dream,Female,50.2,18.7,198.0,3775.0
83,1269,Gentoo,Biscoe,Female,42.7,13.7,208.0,3950.0
84,1380,Adelie,Torgersen,Male,42.5,20.7,197.0,4500.0
85,1349,Adelie,Dream,Female,40.2,17.1,193.0,3400.0
86,1714,Gentoo,Biscoe,,44.5,15.7,217.0,4875.0
87,1686,Gentoo,Biscoe,Female,47.2,15.5,215.0,4975.0
88,1006,Adelie,Biscoe,Male,39.7,18.9,184.0,3550.0
89,1801,Adelie,Biscoe,Female,39.6,17.7,186.0,3500.0
90,1543,Adelie,Dream,Male,39.6,18.1,186.0,4450.0
91,1969,Gentoo,Biscoe,Male,45.5,15.0,220.0,5000.0
92,1670,Gentoo,Biscoe,Male,49.9,16.1,213.0,5400.0
93,1425,Adelie,Biscoe,Female,35.3,18.9,187.0,3800.0
94,1252,Adelie,Torgersen,Female,35.9,16.6,190.0,3050.0
95,1648,Gentoo,Biscoe,Male,49.8,16.8,230.0,5700.0
96,1549,Gentoo,Biscoe,Male,59.6,17.0,230.0,6050.0
97,1813,Adelie,Torgersen,Female,38.6,17.0,188.0,2900.0
98,1379,Gentoo,Biscoe,,46.2,14.4,214.0,4650.0
99,1481,Gentoo,Biscoe,Female,43.4,14.4,218.0,4600.0
100,1820,Gentoo,Biscoe,Male,45.2,15.8,215.0,5300.0
101,1524,Adelie,Torgersen,Male,37.7,19.8,198.0,3500.0
102,1104,Adelie,Dream,Male,38.3,19.2,189.0,3950.0
103,1785,Chinstrap,Dream,Male,50.3,20.0,197.0,3300.0
104,1504,Adelie,Dream,Male,37.5,18.5,199.0,4475.0
105,1480,Adelie,Dream,Male,40.9,18.9,184.0,3900.0
106,1152,Gentoo,Biscoe,Male,4.95,1.61,22.4,5650.0
107,1227,Adelie,Torgersen,Male,42.8,18.5,195.0,4250.0
108,1213,Gentoo,Biscoe,Female,45.8,14.6,210.0,4200.0
109,1208,Adelie,Biscoe,Male,38.8,17.2,180.0,3800.0
110,1652,Adelie,Torgersen,Female,33.5,19.0,190.0,3600.0
111,1217,Chinstrap,Dream,Female,45.7,17.0,195.0,3650.0
112,1220,Adelie,Dream,Male,41.3,20.3,194.0,3550.0
113,1751,Gentoo,Biscoe,Female,45.7,13.9,214.0,4400.0
114,1497,Adelie,Torgersen,Male,42.1,19.1,195.0,4000.0
115,1939,Gentoo,Biscoe,Male,49.8,15.9,229.0,5950.0
116,1530,Gentoo,Biscoe,Male,48.4,14.6,213.0,5850.0
117,1994,Gentoo,Biscoe,Female,47.5,15.0,218.0,4950.0
118,1655,Gentoo,Biscoe,Female,45.5,14.5,212.0,4750.0
119,1453,Adelie,Dream,Female,37.0,16.5,185.0,3400.0
120,1568,Gentoo,Biscoe,Male,46.4,15.6,221.0,5000.0
121,1120,Adelie,Dream,,37.5,18.9,179.0,2975.0
122,1322,Adelie,Biscoe,Female,36.5,16.6,181.0,2850.0
123,1462,Gentoo,Biscoe,Male,50.0,15.2,218.0,5700.0
124,1380,Adelie,Torgersen,Male,42.5,20.7,197.0,4500.0
125,1499,Adelie,Torgersen,Male,37.3,20.5,199.0,3775.0
126,1913,Adelie,Dream,Female,37.6,19.3,181.0,3300.0
127,1514,Gentoo,Biscoe,Female,42.6,13.7,213.0,4950.0
128,1639,Adelie,Biscoe,Male,38.2,18.1,185.0,3950.0
129,1048,Gentoo,Biscoe,Male,50.8,15.7,226.0,5200.0
130,1714,Gentoo,Biscoe,,44.5,15.7,217.0,4875.0
131,1131,Chinstrap,Dream,Female,46.1,18.2,178.0,3250.0
132,1290,Chinstrap,Dream,Female,43.2,16.6,187.0,2900.0
133,1674,Gentoo,Biscoe,Male,49.3,15.7,217.0,5850.0
134,1350,Gentoo,Biscoe,Female,43.2,14.5,208.0,4450.0
135,1943,Adelie,Dream,Male,37.2,18.1,178.0,3900.0
136,1458,Adelie,Dream,Female,34.0,17.1,185.0,3400.0
137,1126,Gentoo,Biscoe,Female,45.1,14.4,210.0,4400.0
138,1825,Adelie,Torgersen,,34.1,18.1,193.0,3475.0
139,1915,Gentoo,Biscoe,Female,46.2,14.1,217.0,4375.0
140,1360,Adelie,Dream,Female,39.5,16.7,178.0,3250.0
141,1858,Gentoo,Biscoe,Male,51.1,16.3,220.0,6000.0
142,1849,Adelie,Torgersen,Female,34.4,18.4,184.0,3325.0
143,1434,Chinstrap,Dream,Female,48.1,16.4,199.0,3325.0
144,1204,Adelie,Torgersen,Female,36.2,16.1,187.0,3550.0
145,1377,Adelie,Biscoe,Male,42.7,18.3,196.0,4075.0
146,1746,Adelie,Dream,Male,41.1,17.5,190.0,3900.0
147,1048,Gentoo,Biscoe,Male,50.8,15.7,226.0,5200.0
148,1350,Gentoo,Biscoe,Female,43.2,14.5,208.0,4450.0
149,1709,Gentoo,Biscoe,Female,45.1,14.5,215.0,5000.0
150,1425,Adelie,Biscoe,Female,35.3,18.9,187.0,3800.0
151,1297,Adelie,Biscoe,Female,35.0,17.9,192.0,3725.0
152,1697,Adelie,Biscoe,Female,35.7,16.9,185.0,3150.0
153,1732,Gentoo,Biscoe,Male,48.1,15.1,209.0,5500.0
154,1222,Adelie,Dream,Male,40.8,18.4,195.0,3900.0
155,1962,Adelie,Dream,Male,40.3,18.5,196.0,4350.0
156,1168,Gentoo,Biscoe,Female,46.9,14.6,222.0,4875.0
157,1653,Gentoo,Biscoe,Female,42.0,13.5,210.0,4150.0
158,1212,Adelie,Torgersen,Male,41.8,19.4,198.0,4450.0
159,1243,Adelie,Biscoe,Female,35.5,16.2,195.0,3350.0
160,1327,Chinstrap,Dream,Male,49.0,19.6,212.0,4300.0
161,1733,Chinstrap,Dream,Male,52.7,19.8,197.0,3725.0
162,1623,Adelie,Dream,Female,36.5,18.0,182.0,3150.0
163,1236,Adelie,Biscoe,Female,38.6,17.2,199.0,3750.0
164,1284,Adelie,Torgersen,Female,35.7,17.0,189.0,3350.0
165,1179,Chinstrap,Dream,Female,45.7,17.3,193.0,3600.0
166,1877,Chinstrap,Dream,Male,50.8,19.0,210.0,4100.0
167,1333,Adelie,Dream,Female,37.3,16.8,192.0,3000.0
168,1524,Adelie,Torgersen,Male,37.7,19.8,198.0,3500.0
169,1730,Gentoo,Biscoe,Male,48.5,14.1,220.0,5300.0
170,1514,Gentoo,Biscoe,Female,42.6,13.7,213.0,4950.0
171,1887,Gentoo,Biscoe,Female,47.5,14.2,209.0,4600.0
172,1623,Adelie,Dream,Female,36.5,18.0,182.0,3150.0
173,1985,Adelie,Dream,Female,36.0,17.1,187.0,3700.0
174,1375,Adelie,Torgersen,Female,35.2,15.9,186.0,3050.0
175,1084,Gentoo,Biscoe,Female,46.4,15.0,216.0,4700.0
176,1471,Gentoo,Biscoe,Male,47.3,15.3,222.0,5250.0
177,1240,Chinstrap,Dream,Male,5.2,1.81,20.1,4050.0
178,1934,Chinstrap,Dream,Female,42.5,17.3,187.0,3350.0
179,1584,Adelie,Biscoe,Female,39.0,17.5,186.0,3550.0
180,1954,Gentoo,Biscoe,Female,46.5,14.5,213.0,4400.0
181,1144,Adelie,Dream,Female,36.9,18.6,189.0,3500.0
182,1285,Adelie,Torgersen,Male,34.6,21.1,198.0,4400.0
183,1699,Adelie,Torgersen,Female,39.0,17.1,191.0,3050.0
184,1193,Adelie,Dream,Male,40.8,18.9,208.0,4300.0
185,1114,Adelie,Biscoe,Male,40.5,18.9,180.0,3950.0
186,1461,Gentoo,Biscoe,Female,45.5,13.7,214.0,4650.0
187,1002,Chinstrap,Dream,Male,50.0,19.5,196.0,3900.0
188,1223,Adelie,Dream,Female,38.1,18.6,190.0,3700.0
189,1911,Chinstrap,Dream,Male,52.8,20.0,205.0,4550.0
190,1461,Gentoo,Biscoe,Female,45.5,13.7,214.0,4650.0
191,1922,Adelie,Dream,Female,42.2,18.5,180.0,3550.0
192,1693,Adelie,Biscoe,Female,39.6,20.7,191.0,3900.0
193,1654,Adelie,Torgersen,Female,40.9,16.8,191.0,3700.0
194,1547,Gentoo,Biscoe,Female,48.2,14.3,210.0,4600.0
195,1790,Adelie,Dream,Male,42.3,21.2,191.0,4150.0
196,1751,Gentoo,Biscoe,Female,45.7,13.9,214.0,4400.0
197,1431,Adelie,Biscoe,Female,37.8,18.3,174.0,3400.0
198,1243,Adelie,Biscoe,Female,35.5,16.2,195.0,3350.0
199,1214,Chinstrap,Dream,Male,51.7,20.3,194.0,3775.0
200,1337,Gentoo,Biscoe,Male,50.8,17.3,228.0,5600.0
201,1815,Chinstrap,Dream,Male,48.5,17.5,191.0,3400.0
202,1535,Chinstrap,Dream,Female,45.2,16.6,191.0,3250.0
203,1432,Adelie,Biscoe,Male,41.6,18.0,192.0,3950.0
204,1160,Adelie,Dream,Male,36.3,19.5,190.0,3800.0
205,1212,Adelie,Torgersen,Male,41.8,19.4,198.0,4450.0
206,1711,Gentoo,Biscoe,Female,45.2,14.8,212.0,5200.0
207,1154,Adelie,Biscoe,Male,37.7,18.7,180.0,3600.0
208,1935,Gentoo,Biscoe,Female,4.720000000000001,1.3699999999999999,21.4,4925.0
209,1937,Chinstrap,Dream,Female,40.9,16.6,187.0,3200.0
210,1984,Chinstrap,Dream,Male,51.5,18.7,187.0,3250.0
211,1921,Gentoo,Biscoe,Male,52.5,15.6,221.0,5450.0
212,1318,Chinstrap,Dream,Male,55.8,19.8,207.0,4000.0
213,1796,Gentoo,Biscoe,Female,48.4,14.4,203.0,4625.0
214,1318,Chinstrap,Dream,Male,55.8,19.8,207.0,4000.0
215,1041,Gentoo,Biscoe,Male,44.4,17.3,219.0,5250.0
216,1816,Gentoo,Biscoe,Male,51.3,14.2,218.0,5300.0
217,1056,Adelie,Dream,Male,39.7,17.9,193.0,4250.0
218,1598,Adelie,Torgersen,Male,39.3,20.6,190.0,3650.0
219,1746,Adelie,Dream,Male,41.1,17.5,190.0,3900.0
220,1110,Gentoo,Biscoe,Female,45.4,14.6,211.0,4800.0
221,1646,Adelie,Dream,Male,40.7,17.0,190.0,3725.0
222,1599,Gentoo,Biscoe,Female,48.7,14.1,210.0,4450.0
223,1269,Gentoo,Biscoe,Female,42.7,13.7,208.0,3950.0
224,1626,Gentoo,Biscoe,Female,49.1,14.8,220.0,5150.0
225,1298,Adelie,Dream,Female,38.1,17.6,187.0,3425.0
226,1900,Chinstrap,Dream,Female,42.5,16.7,187.0,3350.0
227,1768,Adelie,Torgersen,,37.8,17.3,180.0,3700.0
228,1275,Chinstrap,Dream,Male,50.6,19.4,193.0,3800.0
229,1091,Adelie,Dream,Male,41.1,19.0,182.0,3425.0
230,1098,Gentoo,Biscoe,Female,40.9,13.7,214.0,4650.0
231,1603,Chinstrap,Dream,Female,49.8,17.3,198.0,3675.0
232,1495,Adelie,Torgersen,Male,38.6,21.2,191.0,3800.0
233,1147,Gentoo,Biscoe,Male,49.5,16.2,229.0,5800.0
234,1028,Adelie,Dream,Female,38.9,18.8,190.0,3600.0
235,1036,Gentoo,Biscoe,Female,43.3,14.0,208.0,4575.0
236,1420,Adelie,Dream,Female,36.6,18.4,184.0,3475.0
237,1739,Chinstrap,Dream,Female,46.4,17.8,191.0,3700.0
238,1150,Chinstrap,Dream,Male,52.0,19.0,197.0,4150.0
239,1137,Gentoo,Biscoe,Female,45.3,13.7,210.0,4300.0
240,1516,Adelie,Dream,Female,36.4,17.0,195.0,3325.0
241,1754,Adelie,Torgersen,Female,38.5,17.9,190.0,3325.0
242,1573,Gentoo,Biscoe,Female,50.5,15.2,216.0,5000.0
243,1502,Gentoo,Biscoe,Male,49.6,15.0,216.0,4750.0
244,1970,Adelie,Torgersen,Male,4.3100000000000005,1.92,19.7,3500.0
245,1281,Gentoo,Biscoe,Male,49.4,15.8,216.0,4925.0
246,1629,Gentoo,Biscoe,Male,55.1,16.0,230.0,5850.0
247,1687,Chinstrap,Dream,Male,52.0,20.7,210.0,4800.0
248,1747,Gentoo,Biscoe,Female,44.9,13.3,213.0,5100.0
249,1500,Chinstrap,Dream,Female,46.8,16.5,189.0,3650.0
250,1699,Adelie,Torgersen,Female,39.0,17.1,191.0,3050.0
251,1744,Chinstrap,Dream,Female,47.6,18.3,195.0,3850.0
252,1462,Gentoo,Biscoe,Male,50.0,15.2,218.0,5700.0
253,1002,Chinstrap,Dream,Male,50.0,19.5,196.0,3900.0
254,1043,Chinstrap,Dream,Male,54.2,20.8,201.0,4300.0
255,1316,Adelie,Dream,Female,35.6,17.5,191.0,3175.0
256,1371,Adelie,Torgersen,Male,41.5,18.3,195.0,4300.0
257,1730,Gentoo,Biscoe,Male,48.5,14.1,220.0,5300.0
258,1408,Gentoo,Biscoe,Female,46.5,14.8,217.0,5200.0
259,1414,Gentoo,Biscoe,Male,46.3,15.8,215.0,5050.0
260,1251,Adelie,Biscoe,Female,38.1,17.0,181.0,3175.0
261,1713,Chinstrap,Dream,Male,52.2,18.8,197.0,3450.0
262,1735,Adelie,Torgersen,Male,37.2,19.4,184.0,3900.0
263,1152,Gentoo,Biscoe,Male,49.5,16.1,224.0,5650.0
264,1360,Adelie,Dream,Female,39.5,16.7,178.0,3250.0
265,1935,Gentoo,Biscoe,Female,47.2,13.7,214.0,4925.0
266,1488,Gentoo,Biscoe,Male,50.0,15.3,220.0,5550.0
267,1322,Adelie,Biscoe,Female,36.5,16.6,181.0,2850.0
268,1496,Gentoo,Biscoe,Female,43.5,14.2,220.0,4700.0
269,1445,Gentoo,Biscoe,Female,45.8,14.2,219.0,4700.0
270,1844,Gentoo,Biscoe,Male,49.0,16.1,216.0,5550.0
271,1795,Adelie,Torgersen,Female,36.6,17.8,185.0,3700.0
272,1532,Chinstrap,Dream,Female,46.5,17.9,192.0,3500.0
273,1841,Gentoo,Biscoe,Female,44.9,13.8,212.0,4750.0
274,1938,Adelie,Dream,Female,36.0,17.8,195.0,3450.0
275,1374,Gentoo,Biscoe,Male,48.6,16.0,230.0,5800.0
276,1689,Adelie,Dream,Female,36.2,17.3,187.0,3300.0
277,1601,Chinstrap,Dream,Male,49.2,18.2,195.0,4400.0
278,1970,Adelie,Torgersen,Male,43.1,19.2,197.0,3500.0
279,1530,Gentoo,Biscoe,Male,48.4,14.6,213.0,5850.0
280,1908,Gentoo,Biscoe,Male,49.6,16.0,225.0,5700.0
281,1802,Adelie,Torgersen,Male,41.4,18.5,202.0,3875.0
282,1144,Adelie,Dream,Female,36.9,18.6,189.0,3500.0
283,1217,Chinstrap,Dream,Female,45.7,17.0,195.0,3650.0
284,1603,Chinstrap,Dream,Female,49.8,17.3,198.0,3675.0
285,1744,Chinstrap,Dream,Female,47.6,18.3,195.0,3850.0
286,1840,Adelie,Biscoe,Male,37.6,19.1,194.0,3750.0
287,1299,Gentoo,Biscoe,Male,46.8,16.1,215.0,5500.0
288,1214,Chinstrap,Dream,Male,51.7,20.3,194.0,3775.0
289,1777,Chinstrap,Dream,Male,51.0,18.8,203.0,4100.0
290,1839,Adelie,Torgersen,Female,36.2,17.2,187.0,3150.0
291,1120,Adelie,Dream,,37.5,18.9,179.0,2975.0
292,1812,Chinstrap,Dream,Female,4.54,1.8699999999999999,18.8,3525.0
293,1886,Gentoo,Biscoe,Female,41.7,14.7,210.0,4700.0
294,1366,Gentoo,Biscoe,Male,48.8,16.2,222.0,6000.0
295,1652,Adelie,Torgersen,Female,33.5,19.0,190.0,3600.0
296,1127,Gentoo,Biscoe,Male,45.0,15.4,220.0,5050.0
297,1924,Gentoo,Biscoe,Female,45.2,13.8,215.0,4750.0
298,1635,Gentoo,Biscoe,Male,46.2,14.9,221.0,5300.0
299,1133,Adelie,Biscoe,Male,40.1,18.9,188.0,4300.0
300,1269,Gentoo,Biscoe,Female,4.2700000000000005,1.3699999999999999,20.8,3950.0
301,1492,Chinstrap,Dream,Female,42.4,17.3,181.0,3600.0
302,1282,Gentoo,Biscoe,Female,42.8,14.2,209.0,4700.0
303,1295,Chinstrap,Dream,Female,46.7,17.9,195.0,3300.0
304,1147,Gentoo,Biscoe,Male,49.5,16.2,229.0,5800.0
305,1504,Adelie,Dream,Male,37.5,18.5,199.0,4475.0
306,1240,Chinstrap,Dream,Male,52.0,18.1,201.0,4050.0
307,1907,Chinstrap,Dream,Female,47.5,16.8,199.0,3900.0
308,1148,Gentoo,Biscoe,Female,43.6,13.9,217.0,4900.0
309,1739,Chinstrap,Dream,Female,46.4,17.8,191.0,3700.0
310,1844,Gentoo,Biscoe,Male,49.0,16.1,216.0,5550.0
311,1907,Chinstrap,Dream,Female,47.5,16.8,199.0,3900.0
312,1886,Gentoo,Biscoe,Female,41.7,14.7,210.0,4700.0
313,1362,Adelie,Torgersen,,42.0,20.2,190.0,4250.0
314,1178,Adelie,Biscoe,Male,4.11,1.8199999999999998,19.2,4050.0
315,1033,Gentoo,Biscoe,Male,47.8,15.0,215.0,5650.0
316,1927,Adelie,Dream,Female,37.0,16.9,185.0,3000.0
317,1131,Chinstrap,Dream,Female,46.1,18.2,178.0,3250.0
318,1860,Adelie,Torgersen,Male,44.1,18.0,210.0,4000.0
319,1587,Gentoo,Biscoe,,47.3,13.8,216.0,4725.0
320,1513,Gentoo,Biscoe,Male,48.2,15.6,221.0,5100.0
321,1775,Gentoo,Biscoe,Female,43.3,13.4,209.0,4400.0
322,1025,Adelie,Dream,Female,39.5,17.8,188.0,3300.0
323,1354,Gentoo,Biscoe,Male,45.2,16.4,223.0,5950.0
324,1146,Adelie,Torgersen,Female,36.7,18.8,187.0,3800.0
325,1055,Adelie,Biscoe,Male,38.2,20.0,190.0,3900.0
326,1918,Chinstrap,Dream,Female,50.2,18.7,198.0,3775.0
327,1076,Adelie,Torgersen,Male,39.7,18.4,190.0,3900.0
328,1055,Adelie,Biscoe,Male,38.2,20.0,190.0,3900.0
329,1279,Gentoo,Biscoe,Female,45.3,13.8,208.0,4200.0
330,1969,Gentoo,Biscoe,Male,45.5,15.0,220.0,5000.0
331,1524,Adelie,Torgersen,Male,3.7700000000000005,1.98,19.8,3500.0
332,1344,Gentoo,Biscoe,Female,43.8,13.9,208.0,4300.0
333,1801,Adelie,Biscoe,Female,39.6,17.7,186.0,3500.0
334,1275,Chinstrap,Dream,Male,50.6,19.4,193.0,3800.0
335,1306,Chinstrap,Dream,Female,46.4,18.6,190.0,3450.0
336,1285,Adelie,Torgersen,Male,34.6,21.1,198.0,4400.0
337,1391,Adelie,Torgersen,Female,36.7,19.3,193.0,3450.0
338,1148,Gentoo,Biscoe,Female,43.6,13.9,217.0,4900.0
339,1675,Gentoo,Biscoe,Male,50.2,14.3,218.0,5700.0
340,1556,Adelie,Dream,Female,36.0,17.9,190.0,3450.0
341,1284,Adelie,Torgersen,Female,35.7,17.0,189.0,3350.0
342,1193,Adelie,Dream,Male,40.8,18.9,208.0,4300.0
343,1549,Gentoo,Biscoe,Male,59.6,17.0,230.0,6050.0
344,1064,Gentoo,Biscoe,Male,51.1,16.5,225.0,5250.0
345,1975,Adelie,Dream,Male,39.2,21.1,196.0,4150.0
346,1113,Chinstrap,Dream,Female,45.5,17.0,196.0,3500.0
347,1675,Gentoo,Biscoe,Male,50.2,14.3,218.0,5700.0
348,1135,Chinstrap,Dream,Male,51.4,19.0,201.0,3950.0
349,1095,Gentoo,Biscoe,Male,50.5,15.9,222.0,5550.0
350,1574,Gentoo,Biscoe,Male,48.7,15.1,222.0,5350.0
351,1238,Adelie,Biscoe,Female,37.9,18.6,172.0,3150.0
352,1855,Gentoo,Biscoe,Male,48.4,16.3,220.0,5400.0
