,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,id
0,Gentoo,Biscoe,46.3,15.8,215.0,5050.0,Male,1414
1,Adelie,Biscoe,39.6,20.7,191.0,3900.0,Female,1693
2,Gentoo,Biscoe,46.5,14.5,213.0,4400.0,Female,1954
3,Adelie,Dream,39.7,17.9,193.0,4250.0,Male,1056
4,Adelie,Dream,36.3,19.5,190.0,3800.0,Male,1160
5,Adelie,Dream,36.8,18.5,193.0,3500.0,Female,1936
6,Chinstrap,Dream,45.4,18.7,188.0,3525.0,Female,1812
7,Chinstrap,Dream,51.3,18.2,197.0,3750.0,Male,1256
8,Chinstrap,Dream,46.4,18.6,190.0,3450.0,Female,1306
9,Gentoo,Biscoe,45.5,13.7,214.0,4650.0,Female,1461
10,Gentoo,Biscoe,47.2,15.5,215.0,4975.0,Female,1686
11,Chinstrap,Dream,50.6,19.4,193.0,3800.0,Male,1275
12,Adelie,Biscoe,38.8,17.2,180.0,3800.0,Male,1208
13,Gentoo,Biscoe,45.3,13.8,208.0,4200.0,Female,1279
14,Chinstrap,Dream,54.2,20.8,201.0,4300.0,Male,1043
15,Chinstrap,Dream,46.8,16.5,189.0,3650.0,Female,1500
16,Adelie,Torgersen,37.8,17.3,180.0,3700.0,,1768
17,Adelie,Dream,37.5,18.5,199.0,4475.0,Male,1504
18,Gentoo,Biscoe,48.5,15.0,219.0,4850.0,Female,1817
19,Adelie,Biscoe,42.2,19.5,197.0,4275.0,Male,1718
20,Gentoo,Biscoe,50.0,16.3,230.0,5700.0,Male,1355
21,Gentoo,Biscoe,45.4,14.6,211.0,4800.0,Female,1110
22,Chinstrap,Dream,45.7,17.3,193.0,3600.0,Female,1179
23,Chinstrap,Dream,46.1,18.2,178.0,3250.0,Female,1131
24,Gentoo,Biscoe,52.2,17.1,228.0,5400.0,Male,1115
25,Gentoo,Biscoe,45.1,14.4,210.0,4400.0,Female,1126
26,Gentoo,Biscoe,46.8,15.4,215.0,5150.0,Male,1830
27,Chinstrap,Dream,58.0,17.8,181.0,3700.0,Female,1239
28,Chinstrap,Dream,51.9,19.5,206.0,3950.0,Male,1741
29,Gentoo,Biscoe,45.2,15.8,215.0,5300.0,Male,1820
30,Adelie,Biscoe,39.0,17.5,186.0,3550.0,Female,1584
31,Adelie,Torgersen,42.9,17.6,196.0,4700.0,Male,1388
32,Gentoo,Biscoe,44.0,13.6,208.0,4350.0,Female,1395
33,Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female,1322
34,Adelie,Torgersen,37.8,17.3,180.0,3700.0,,1768
35,Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female,1652
36,Chinstrap,Dream,5.13,1.8199999999999998,19.7,3750.0,Male,1256
37,Adelie,Dream,36.9,18.6,189.0,3500.0,Female,1144
38,Gentoo,Biscoe,50.0,16.3,230.0,5700.0,Male,1355
39,Adelie,Biscoe,40.1,18.9,188.0,4300.0,Male,1133
40,Gentoo,Biscoe,50.8,17.3,228.0,5600.0,Male,1337
41,Adelie,Dream,38.8,20.0,190.0,3950.0,Male,1944
42,Adelie,Biscoe,37.8,20.0,190.0,4250.0,Male,1512
43,Gentoo,Biscoe,46.4,15.6,221.0,5000.0,Male,1568
44,Gentoo,Biscoe,45.2,14.8,212.0,5200.0,Female,1711
45,Gentoo,Biscoe,46.1,15.1,215.0,5100.0,Male,1606
46,Adelie,Dream,34.0,17.1,185.0,3400.0,Female,1458
47,Adelie,Torgersen,38.8,17.6,191.0,3275.0,Female,1914
48,Adelie,Biscoe,41.6,18.0,192.0,3950.0,Male,1432
49,Gentoo,Biscoe,52.5,15.6,221.0,5450.0,Male,1921
50,Gentoo,Biscoe,42.8,14.2,209.0,4700.0,Female,1282
51,Adelie,Torgersen,41.4,18.5,202.0,3875.0,Male,1802
52,Gentoo,Biscoe,45.8,14.6,210.0,4200.0,Female,1213
53,Adelie,Dream,36.0,17.1,187.0,3700.0,Female,1985
54,Gentoo,Biscoe,49.6,16.0,225.0,5700.0,Male,1908
55,Adelie,Torgersen,45.8,18.9,197.0,4150.0,Male,1136
56,Adelie,Dream,38.3,19.2,189.0,3950.0,Male,1104
57,Adelie,Dream,44.1,19.7,196.0,4400.0,Male,1138
58,Adelie,Dream,38.1,18.6,190.0,3700.0,Female,1223
59,Gentoo,Biscoe,49.2,15.2,221.0,6300.0,Male,1807
60,Chinstrap,Dream,51.3,19.2,193.0,3650.0,Male,1803
61,Gentoo,Biscoe,44.5,15.7,217.0,4875.0,,1714
62,Adelie,Torgersen,41.5,18.3,195.0,4300.0,Male,1371
63,Gentoo,Biscoe,43.3,13.4,209.0,4400.0,Female,1775
64,Gentoo,Biscoe,50.1,15.0,225.0,5000.0,Male,1001
65,Gentoo,Biscoe,49.1,14.5,212.0,4625.0,Female,1478
66,Adelie,Biscoe,39.6,20.7,191.0,3900.0,Female,1693
67,Gentoo,Biscoe,40.9,13.7,214.0,4650.0,Female,1098
68,Adelie,Torgersen,34.6,21.1,198.0,4400.0,Male,1285
69,Gentoo,Biscoe,43.5,15.2,213.0,4650.0,Female,1197
70,Adelie,Torgersen,36.2,17.2,187.0,3150.0,Female,1839
71,Adelie,Biscoe,38.2,20.0,190.0,3900.0,Male,1055
72,Gentoo,Biscoe,48.4,16.3,220.0,5400.0,Male,1855
73,Chinstrap,Dream,45.9,17.1,190.0,3575.0,Female,1622
74,Adelie,Dream,37.2,18.1,178.0,3900.0,Male,1943
75,Gentoo,Biscoe,43.5,14.2,220.0,4700.0,Female,1496
76,Adelie,Torgersen,38.9,17.8,181.0,3625.0,Female,1829
77,Chinstrap,Dream,50.2,18.7,198.0,3775.0,Female,1918
78,Gentoo,Biscoe,43.4,14.4,218.0,4600.0,Female,1481
79,Chinstrap,Dream,45.5,17.0,196.0,3500.0,Female,1113
80,Adelie,Biscoe,37.9,18.6,172.0,3150.0,Female,1238
81,Adelie,Dream,36.0,18.5,186.0,3100.0,Female,1940
82,Gentoo,Biscoe,46.6,14.2,210.0,4850.0,Female,1111
83,Gentoo,Biscoe,48.4,14.4,203.0,4625.0,Female,1796
84,Adelie,Dream,44.1,19.7,196.0,4400.0,Male,1138
85,Gentoo,Biscoe,42.7,13.7,208.0,3950.0,Female,1269
86,Adelie,Dream,33.1,16.1,178.0,2900.0,Female,1871
87,Adelie,Torgersen,42.8,18.5,195.0,4250.0,Male,1227
88,Gentoo,Biscoe,45.2,15.8,215.0,5300.0,Male,1820
89,Adelie,Dream,38.1,17.6,187.0,3425.0,Female,1298
90,Gentoo,Biscoe,46.2,14.4,214.0,4650.0,,1379
91,Adelie,Dream,40.9,18.9,184.0,3900.0,Male,1480
92,Adelie,Dream,40.8,18.9,208.0,4300.0,Male,1193
93,Adelie,Torgersen,35.9,16.6,190.0,3050.0,Female,1252
94,Adelie,Torgersen,36.7,18.8,187.0,3800.0,Female,1146
95,Gentoo,Biscoe,46.1,13.2,211.0,4500.0,Female,1027
96,Gentoo,Biscoe,42.9,13.1,215.0,5000.0,Female,1771
97,Chinstrap,Dream,46.5,17.9,192.0,3500.0,Female,1532
98,Adelie,Biscoe,38.1,16.5,198.0,3825.0,Female,1334
99,Gentoo,Biscoe,47.6,14.5,215.0,5400.0,Male,1088
100,Gentoo,Biscoe,51.5,16.3,230.0,5500.0,Male,1765
101,Adelie,Torgersen,42.1,19.1,195.0,4000.0,Male,1497
102,Adelie,Dream,41.5,18.5,201.0,4000.0,Male,1551
103,Adelie,Biscoe,37.6,17.0,185.0,3600.0,Female,1129
104,Gentoo,Biscoe,49.5,16.2,229.0,5800.0,Male,1147
105,Gentoo,Biscoe,44.4,17.3,219.0,5250.0,Male,1041
106,Chinstrap,Dream,50.8,19.0,210.0,4100.0,Male,1877
107,Chinstrap,Dream,50.5,18.4,200.0,3400.0,Female,1614
108,Gentoo,Biscoe,42.0,13.5,210.0,4150.0,Female,1653
109,Gentoo,Biscoe,48.6,16.0,230.0,5800.0,Male,1374
110,Gentoo,Biscoe,45.1,14.5,215.0,5000.0,Female,1709
111,Gentoo,Biscoe,46.8,15.4,215.0,5150.0,Male,1830
112,Chinstrap,Dream,51.3,19.9,198.0,3700.0,Male,1085
113,Gentoo,Biscoe,50.0,15.2,218.0,5700.0,Male,1462
114,Chinstrap,Dream,46.9,16.6,192.0,2700.0,Female,1799
115,Gentoo,Biscoe,46.8,16.1,215.0,5500.0,Male,1299
116,Adelie,Dream,38.9,18.8,190.0,3600.0,Female,1028
117,Adelie,Dream,37.6,19.3,181.0,3300.0,Female,1913
118,Adelie,Biscoe,41.0,20.0,203.0,4725.0,Male,1189
119,Gentoo,Biscoe,45.4,14.6,211.0,4800.0,Female,1110
120,Gentoo,Biscoe,43.3,14.0,208.0,4575.0,Female,1036
121,Chinstrap,Dream,52.0,19.0,197.0,4150.0,Male,1150
122,Adelie,Torgersen,38.7,19.0,195.0,3450.0,Female,1301
123,Gentoo,Biscoe,47.4,14.6,212.0,4725.0,Female,1004
124,Chinstrap,Dream,46.5,17.9,192.0,3500.0,Female,1532
125,Gentoo,Biscoe,49.4,15.8,216.0,4925.0,Male,1281
126,Gentoo,Biscoe,46.2,14.1,217.0,4375.0,Female,1915
127,Adelie,Dream,32.1,15.5,188.0,3050.0,Female,1586
128,Gentoo,Biscoe,47.2,13.7,214.0,4925.0,Female,1935
129,Adelie,Dream,39.0,18.7,185.0,3650.0,Male,1161
130,Chinstrap,Dream,49.7,18.6,195.0,3600.0,Male,1390
131,Adelie,Biscoe,34.5,18.1,187.0,2900.0,Female,1267
132,Adelie,Torgersen,39.6,17.2,196.0,3550.0,Female,1567
133,Chinstrap,Dream,5.14,1.9,20.1,3950.0,Male,1135
134,Gentoo,Biscoe,44.4,17.3,219.0,5250.0,Male,1041
135,Gentoo,Biscoe,43.6,13.9,217.0,4900.0,Female,1148
136,Gentoo,Biscoe,43.8,13.9,208.0,4300.0,Female,1344
137,Chinstrap,Dream,5.279999999999999,2.0,20.5,4550.0,Male,1911
138,Gentoo,Biscoe,4.6899999999999995,1.46,22.2,4875.0,Female,1168
139,Adelie,Biscoe,40.6,18.6,183.0,3550.0,Male,1479
140,Adelie,Torgersen,37.8,17.1,186.0,3300.0,,1894
141,Adelie,Dream,37.0,16.9,185.0,3000.0,Female,1927
142,Adelie,Biscoe,45.6,20.3,191.0,4600.0,Male,1650
143,Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female,1654
144,Gentoo,Biscoe,46.8,14.3,215.0,4850.0,Female,1415
145,Gentoo,Biscoe,50.0,15.3,220.0,5550.0,Male,1488
146,Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female,1813
147,Gentoo,Biscoe,48.7,15.7,208.0,5350.0,Male,1309
148,Gentoo,Biscoe,46.6,14.2,210.0,4850.0,Female,1111
149,Gentoo,Biscoe,41.7,14.7,210.0,4700.0,Female,1886
150,Gentoo,Biscoe,50.5,15.2,216.0,5000.0,Female,1573
151,Chinstrap,Dream,51.5,18.7,187.0,3250.0,Male,1984
152,Adelie,Dream,37.8,18.1,193.0,3750.0,Male,1060
153,Adelie,Dream,37.3,17.8,191.0,3350.0,Female,1616
154,Gentoo,Biscoe,50.5,15.9,225.0,5400.0,Male,1139
155,Gentoo,Biscoe,54.3,15.7,231.0,5650.0,Male,1591
156,Adelie,Torgersen,38.8,17.6,191.0,3275.0,Female,1914
157,Adelie,Torgersen,38.5,17.9,190.0,3325.0,Female,1754
158,Adelie,Dream,36.3,19.5,190.0,3800.0,Male,1160
159,Gentoo,Biscoe,49.3,15.7,217.0,5850.0,Male,1674
160,Gentoo,Biscoe,52.1,17.0,230.0,5550.0,Male,1789
161,Adelie,Torgersen,35.5,17.5,190.0,3700.0,Female,1308
162,Gentoo,Biscoe,45.7,13.9,214.0,4400.0,Female,1751
163,Adelie,Torgersen,36.6,17.8,185.0,3700.0,Female,1795
164,Adelie,Torgersen,37.3,20.5,199.0,3775.0,Male,1499
165,Adelie,Biscoe,39.7,17.7,193.0,3200.0,Female,1992
166,Chinstrap,Dream,49.3,19.9,203.0,4050.0,Male,1184
167,Adelie,Biscoe,38.1,17.0,181.0,3175.0,Female,1251
168,Adelie,Dream,43.2,18.5,192.0,4100.0,Male,1015
169,Chinstrap,Dream,49.6,18.2,193.0,3775.0,Male,1250
170,Chinstrap,Dream,46.2,17.5,187.0,3650.0,Female,1884
171,Chinstrap,Dream,52.7,19.8,197.0,3725.0,Male,1733
172,Adelie,Biscoe,4.11,1.8199999999999998,19.2,4050.0,Male,1178
173,Adelie,Torgersen,41.4,18.5,202.0,3875.0,Male,1802
174,Gentoo,Biscoe,50.1,15.0,225.0,5000.0,Male,1001
175,Gentoo,Biscoe,43.3,14.0,208.0,4575.0,Female,1036
176,Gentoo,Biscoe,51.1,16.5,225.0,5250.0,Male,1064
177,Chinstrap,Dream,46.2,17.5,187.0,3650.0,Female,1884
178,Adelie,Dream,39.8,19.1,184.0,4650.0,Male,1965
179,Adelie,Dream,37.0,16.9,185.0,3000.0,Female,1927
180,Gentoo,Biscoe,4.2,1.35,21.0,4150.0,Female,1653
181,Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female,1449
182,Adelie,Biscoe,38.2,20.0,190.0,3900.0,Male,1055
183,Gentoo,Biscoe,48.8,16.2,222.0,6000.0,Male,1366
184,Gentoo,Biscoe,46.3,15.8,215.0,5050.0,Male,1414
185,Chinstrap,Dream,49.8,17.3,198.0,3675.0,Female,1603
186,Gentoo,Biscoe,48.1,15.1,209.0,5500.0,Male,1732
187,Chinstrap,Dream,53.5,19.9,205.0,4500.0,Male,1096
188,Adelie,Dream,41.1,18.1,205.0,4300.0,Male,1357
189,Gentoo,Biscoe,45.1,14.5,207.0,5050.0,Female,1862
190,Chinstrap,Dream,49.5,19.0,200.0,3800.0,Male,1960
191,Adelie,Torgersen,39.1,18.7,181.0,3750.0,Male,1889
192,Gentoo,Biscoe,55.9,17.0,228.0,5600.0,Male,1196
193,Gentoo,Biscoe,46.2,14.4,214.0,4650.0,,1379
194,Chinstrap,Dream,52.8,20.0,205.0,4550.0,Male,1911
195,Gentoo,Biscoe,45.3,13.7,210.0,4300.0,Female,1137
196,Gentoo,Biscoe,47.5,14.0,212.0,4875.0,Female,1990
197,Gentoo,Biscoe,45.2,16.4,223.0,5950.0,Male,1354
198,Adelie,Dream,36.5,18.0,182.0,3150.0,Female,1623
199,Adelie,Torgersen,35.2,15.9,186.0,3050.0,Female,1375
200,Adelie,Dream,41.3,20.3,194.0,3550.0,Male,1220
201,Adelie,Dream,36.5,18.0,182.0,3150.0,Female,1623
202,Gentoo,Biscoe,45.5,14.5,212.0,4750.0,Female,1655
203,Chinstrap,Dream,50.5,19.6,201.0,4050.0,Male,1700
204,Chinstrap,Dream,40.9,16.6,187.0,3200.0,Female,1937
205,Chinstrap,Dream,46.7,17.9,195.0,3300.0,Female,1295
206,Gentoo,Biscoe,51.1,16.3,220.0,6000.0,Male,1858
207,Chinstrap,Dream,47.6,18.3,195.0,3850.0,Female,1744
208,Gentoo,Biscoe,49.3,15.7,217.0,5850.0,Male,1674
209,Gentoo,Biscoe,49.8,16.8,230.0,5700.0,Male,1648
210,Chinstrap,Dream,46.0,18.9,195.0,4150.0,Female,1694
211,Chinstrap,Dream,42.4,17.3,181.0,3600.0,Female,1492
212,Chinstrap,Dream,42.5,16.7,187.0,3350.0,Female,1900
213,Chinstrap,Dream,49.6,18.2,193.0,3775.0,Male,1250
214,Adelie,Torgersen,4.18,1.94,19.8,4450.0,Male,1212
215,Adelie,Biscoe,41.6,18.0,192.0,3950.0,Male,1432
216,Chinstrap,Dream,53.5,19.9,205.0,4500.0,Male,1096
217,Adelie,Torgersen,38.7,19.0,195.0,3450.0,Female,1301
218,Gentoo,Biscoe,46.5,14.8,217.0,5200.0,Female,1408
219,Chinstrap,Dream,52.7,19.8,197.0,3725.0,Male,1733
220,Chinstrap,Dream,45.5,17.0,196.0,3500.0,Female,1113
221,Gentoo,Biscoe,54.3,15.7,231.0,5650.0,Male,1591
222,Chinstrap,Dream,50.6,19.4,193.0,3800.0,Male,1275
223,Gentoo,Biscoe,43.2,14.5,208.0,4450.0,Female,1350
224,Gentoo,Biscoe,48.7,14.1,210.0,4450.0,Female,1599
225,Adelie,Biscoe,40.6,18.8,193.0,3800.0,Male,1412
226,Adelie,Biscoe,39.6,17.7,186.0,3500.0,Female,1801
227,Gentoo,Biscoe,45.3,13.8,208.0,4200.0,Female,1279
228,Adelie,Dream,40.8,18.4,195.0,3900.0,Male,1222
229,Adelie,Torgersen,40.6,19.0,199.0,4000.0,Male,1879
230,Adelie,Biscoe,41.0,20.0,203.0,4725.0,Male,1189
231,Gentoo,Biscoe,49.1,14.8,220.0,5150.0,Female,1626
232,Chinstrap,Dream,51.7,20.3,194.0,3775.0,Male,1214
233,Adelie,Dream,37.5,18.9,179.0,2975.0,,1120
234,Chinstrap,Dream,46.6,17.8,193.0,3800.0,Female,1438
235,Chinstrap,Dream,50.9,17.9,196.0,3675.0,Female,1429
236,Chinstrap,Dream,43.2,16.6,187.0,2900.0,Female,1290
237,Adelie,Dream,34.0,17.1,185.0,3400.0,Female,1458
238,Adelie,Dream,42.2,18.5,180.0,3550.0,Female,1922
239,Adelie,Biscoe,37.7,18.7,180.0,3600.0,Male,1154
240,Gentoo,Biscoe,49.2,15.2,221.0,6300.0,Male,1807
241,Chinstrap,Dream,50.3,20.0,197.0,3300.0,Male,1785
242,Adelie,Biscoe,39.7,17.7,193.0,3200.0,Female,1992
243,Gentoo,Biscoe,44.5,14.3,216.0,4100.0,,1452
244,Adelie,Dream,41.1,17.5,190.0,3900.0,Male,1746
245,Gentoo,Biscoe,45.5,13.7,214.0,4650.0,Female,1461
246,Chinstrap,Dream,45.2,17.8,198.0,3950.0,Female,1643
247,Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male,1380
248,Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female,1699
249,Chinstrap,Dream,52.0,18.1,201.0,4050.0,Male,1240
250,Adelie,Biscoe,40.5,18.9,180.0,3950.0,Male,1114
251,Gentoo,Biscoe,50.2,14.3,218.0,5700.0,Male,1675
252,Gentoo,Biscoe,46.5,14.5,213.0,4400.0,Female,1954
253,Gentoo,Biscoe,46.2,14.5,209.0,4800.0,Female,1651
254,Chinstrap,Dream,42.5,17.3,187.0,3350.0,Female,1934
255,Adelie,Dream,39.8,19.1,184.0,4650.0,Male,1965
256,Adelie,Dream,37.6,19.3,181.0,3300.0,Female,1913
257,Chinstrap,Dream,50.2,18.8,202.0,3800.0,Male,1490
258,Chinstrap,Dream,45.4,18.7,188.0,3525.0,Female,1812
259,Gentoo,Biscoe,48.1,15.1,209.0,5500.0,Male,1732
260,Adelie,Biscoe,42.7,18.3,196.0,4075.0,Male,1377
261,Gentoo,Biscoe,49.8,15.9,229.0,5950.0,Male,1939
262,Adelie,Dream,38.3,19.2,189.0,3950.0,Male,1104
263,Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male,1212
264,Gentoo,Biscoe,50.8,17.3,228.0,5600.0,Male,1337
265,Gentoo,Biscoe,52.2,17.1,228.0,5400.0,Male,1115
266,Gentoo,Biscoe,49.1,14.8,220.0,5150.0,Female,1626
267,Gentoo,Biscoe,50.4,15.3,224.0,5550.0,Male,1895
268,Adelie,Torgersen,42.0,20.2,190.0,4250.0,,1362
269,Adelie,Torgersen,46.0,21.5,194.0,4200.0,Male,1063
270,Adelie,Torgersen,34.4,18.4,184.0,3325.0,Female,1849
271,Chinstrap,Dream,49.5,19.0,200.0,3800.0,Male,1960
272,Adelie,Torgersen,35.9,16.6,190.0,3050.0,Female,1252
273,Gentoo,Biscoe,43.2,14.5,208.0,4450.0,Female,1350
274,Chinstrap,Dream,50.9,19.1,196.0,3550.0,Male,1570
275,Adelie,Dream,38.1,18.6,190.0,3700.0,Female,1223
276,Gentoo,Biscoe,47.8,15.0,215.0,5650.0,Male,1033
277,Adelie,Biscoe,38.1,16.5,198.0,3825.0,Female,1334
278,Chinstrap,Dream,45.6,19.4,194.0,3525.0,Female,1440
279,Adelie,Torgersen,46.0,21.5,194.0,4200.0,Male,1063
280,Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female,1259
281,Adelie,Biscoe,40.6,18.6,183.0,3550.0,Male,1479
282,Gentoo,Biscoe,47.4,14.6,212.0,4725.0,Female,1004
283,Gentoo,Biscoe,50.4,15.7,222.0,5750.0,Male,1000
284,Adelie,Dream,36.2,17.3,187.0,3300.0,Female,1689
285,Adelie,Torgersen,39.6,17.2,196.0,3550.0,Female,1567
286,Adelie,Dream,40.6,17.2,187.0,3475.0,Male,1105
287,Adelie,Biscoe,38.1,17.0,181.0,3175.0,Female,1251
288,Gentoo,Biscoe,49.5,16.1,224.0,5650.0,Male,1152
289,Chinstrap,Dream,46.4,18.6,190.0,3450.0,Female,1306
290,Adelie,Dream,40.2,20.1,200.0,3975.0,Male,1863
291,Gentoo,Biscoe,4.720000000000001,1.3699999999999999,21.4,4925.0,Female,1935
292,Gentoo,Biscoe,52.5,15.6,221.0,5450.0,Male,1921
293,Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female,1813
294,Adelie,Biscoe,4.5600000000000005,2.0300000000000002,19.1,4600.0,Male,1650
295,Adelie,Biscoe,39.0,17.5,186.0,3550.0,Female,1584
296,Adelie,Dream,35.6,17.5,191.0,3175.0,Female,1316
297,Adelie,Biscoe,37.7,16.0,183.0,3075.0,Female,1441
298,Chinstrap,Dream,55.8,19.8,207.0,4000.0,Male,1318
299,Adelie,Dream,41.1,18.1,205.0,4300.0,Male,1357
300,Gentoo,Biscoe,51.1,16.5,225.0,5250.0,Male,1064
301,Gentoo,Biscoe,45.7,13.9,214.0,4400.0,Female,1751
302,Chinstrap,Dream,46.4,17.8,191.0,3700.0,Female,1739
303,Adelie,Torgersen,35.7,17.0,189.0,3350.0,Female,1284
304,Chinstrap,Dream,50.8,19.0,210.0,4100.0,Male,1877
305,Adelie,Dream,36.0,17.8,195.0,3450.0,Female,1938
306,Gentoo,Biscoe,47.5,14.0,212.0,4875.0,Female,1990
307,Gentoo,Biscoe,48.7,15.1,222.0,5350.0,Male,1574
308,Adelie,Biscoe,37.8,20.0,190.0,4250.0,Male,1512
309,Adelie,Biscoe,40.5,17.9,187.0,3200.0,Female,1885
310,Chinstrap,Dream,5.2,1.81,20.1,4050.0,Male,1240
311,Chinstrap,Dream,49.2,18.2,195.0,4400.0,Male,1601
312,Chinstrap,Dream,51.3,18.2,197.0,3750.0,Male,1256
313,Chinstrap,Dream,45.7,17.3,193.0,3600.0,Female,1179
314,Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female,1950
315,Gentoo,Biscoe,49.6,15.0,216.0,4750.0,Male,1502
316,Adelie,Dream,37.8,18.1,193.0,3750.0,Male,1060
317,Chinstrap,Dream,50.0,19.5,196.0,3900.0,Male,1002
318,Gentoo,Biscoe,45.3,13.7,210.0,4300.0,Female,1137
319,Gentoo,Biscoe,42.9,13.1,215.0,5000.0,Female,1771
320,Gentoo,Biscoe,49.6,16.0,225.0,5700.0,Male,1908
321,Chinstrap,Dream,50.2,18.8,202.0,3800.0,Male,1490
322,Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female,1449
323,Adelie,Biscoe,41.3,21.1,195.0,4400.0,Male,1589
324,Adelie,Dream,39.5,16.7,178.0,3250.0,Female,1360
325,Adelie,Dream,42.2,18.5,180.0,3550.0,Female,1922
326,Gentoo,Biscoe,49.0,16.1,216.0,5550.0,Male,1844
327,Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female,1204
328,Chinstrap,Dream,5.42,2.08,20.1,4300.0,Male,1043
329,Adelie,Dream,37.2,18.1,178.0,3900.0,Male,1943
330,Gentoo,Biscoe,44.9,13.3,213.0,5100.0,Female,1747
331,Adelie,Biscoe,35.0,17.9,192.0,3725.0,Female,1297
332,Adelie,Dream,39.7,17.9,193.0,4250.0,Male,1056
333,Adelie,Dream,40.2,17.1,193.0,3400.0,Female,1349
334,Chinstrap,Dream,51.0,18.8,203.0,4100.0,Male,1777
335,Chinstrap,Dream,43.5,18.1,202.0,3400.0,Female,1673
336,Adelie,Dream,37.5,18.9,179.0,2975.0,,1120
337,Gentoo,Biscoe,46.4,15.0,216.0,4700.0,Female,1084
338,Gentoo,Biscoe,49.1,15.0,228.0,5500.0,Male,1980
339,Gentoo,Biscoe,48.5,14.1,220.0,5300.0,Male,1730
340,Adelie,Biscoe,36.4,17.1,184.0,2850.0,Female,1647
341,Gentoo,Biscoe,46.8,14.3,215.0,4850.0,Female,1415
342,Adelie,Dream,36.4,17.0,195.0,3325.0,Female,1516
343,Adelie,Dream,39.5,16.7,178.0,3250.0,Female,1360
344,Adelie,Torgersen,37.2,19.4,184.0,3900.0,Male,1735
345,Adelie,Biscoe,45.6,20.3,191.0,4600.0,Male,1650
346,Adelie,Biscoe,36.4,17.1,184.0,2850.0,Female,1647
347,Gentoo,Biscoe,48.2,14.3,210.0,4600.0,Female,1547
348,Gentoo,Biscoe,43.8,13.9,208.0,4300.0,Female,1344
349,Gentoo,Biscoe,48.6,16.0,230.0,5800.0,Male,1374
350,Chinstrap,Dream,55.8,19.8,207.0,4000.0,Male,1318
351,Adelie,Dream,36.2,17.3,187.0,3300.0,Female,1689
352,Adelie,Dream,40.9,18.9,184.0,3900.0,Male,1480
353,Gentoo,Biscoe,46.4,15.0,216.0,4700.0,Female,1084
