,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,id
354,Chinstrap,Dream,48.1,16.4,199.0,3325.0,Female,1434
355,Gentoo,Biscoe,53.4,15.8,219.0,5500.0,Male,1511
356,Adelie,Dream,39.0,18.7,185.0,3650.0,Male,1161
357,Chinstrap,Dream,46.1,18.2,178.0,3250.0,Female,1131
358,Adelie,Dream,36.6,18.4,184.0,3475.0,Female,1420
359,Gentoo,Biscoe,50.5,15.2,216.0,5000.0,Female,1573
360,Chinstrap,Dream,46.4,17.8,191.0,3700.0,Female,1739
361,Chinstrap,Dream,54.2,20.8,201.0,4300.0,Male,1043
362,Gentoo,Biscoe,46.1,15.1,215.0,5100.0,Male,1606
363,Chinstrap,Dream,52.0,18.1,201.0,4050.0,Male,1240
364,Gentoo,Biscoe,45.5,13.9,210.0,4200.0,Female,1909
365,Gentoo,Biscoe,50.7,15.0,223.0,5550.0,Male,1912
366,Chinstrap,Dream,43.5,18.1,202.0,3400.0,Female,1673
367,Chinstrap,Dream,50.9,17.9,196.0,3675.0,Female,1429
368,Adelie,Torgersen,42.8,18.5,195.0,4250.0,Male,1227
369,Adelie,Dream,39.2,18.6,190.0,4250.0,Male,1562
370,Adelie,Biscoe,35.3,18.9,187.0,3800.0,Female,1425
371,Chinstrap,Dream,49.8,17.3,198.0,3675.0,Female,1603
372,Gentoo,Biscoe,47.5,15.0,218.0,4950.0,Female,1994
373,Adelie,Torgersen,37.2,19.4,184.0,3900.0,Male,1735
374,Gentoo,Biscoe,47.3,13.8,216.0,4725.0,,1587
375,Adelie,Torgersen,,,,,,1850
376,Gentoo,Biscoe,42.6,13.7,213.0,4950.0,Female,1514
377,Gentoo,Biscoe,46.1,13.2,211.0,4500.0,Female,1027
378,Gentoo,Biscoe,4.95,1.61,22.4,5650.0,Male,1152
379,Adelie,Dream,39.2,21.1,196.0,4150.0,Male,1975
380,Adelie,Dream,38.1,17.6,187.0,3425.0,Female,1298
381,Gentoo,Biscoe,4.779999999999999,1.5,21.5,5650.0,Male,1033
382,Chinstrap,Dream,40.9,16.6,187.0,3200.0,Female,1937
383,Gentoo,Biscoe,43.5,15.2,213.0,4650.0,Female,1197
384,Gentoo,Biscoe,45.1,14.5,207.0,5050.0,Female,1862
385,Chinstrap,Dream,50.8,18.5,201.0,4450.0,Male,1544
386,Adelie,Torgersen,44.1,18.0,210.0,4000.0,Male,1860
387,Adelie,Biscoe,40.5,17.9,187.0,3200.0,Female,1885
388,Gentoo,Biscoe,42.8,14.2,209.0,4700.0,Female,1282
389,Adelie,Torgersen,37.3,20.5,199.0,3775.0,Male,1499
390,Adelie,Biscoe,35.5,16.2,195.0,3350.0,Female,1243
391,Chinstrap,Dream,4.67,1.7899999999999998,19.5,3300.0,Female,1295
392,Gentoo,Biscoe,46.9,14.6,222.0,4875.0,Female,1168
393,Adelie,Biscoe,38.6,17.2,199.0,3750.0,Female,1236
394,Chinstrap,Dream,49.2,18.2,195.0,4400.0,Male,1601
395,Adelie,Torgersen,38.6,21.2,191.0,3800.0,Male,1495
396,Adelie,Dream,39.6,18.8,190.0,4600.0,Male,1207
397,Gentoo,Biscoe,50.7,15.0,223.0,5550.0,Male,1912
398,Adelie,Dream,40.2,20.1,200.0,3975.0,Male,1863
399,Adelie,Torgersen,38.9,17.8,181.0,3625.0,Female,1829
400,Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female,1652
401,Adelie,Biscoe,41.4,18.6,191.0,3700.0,Male,1359
402,Chinstrap,Dream,48.5,17.5,191.0,3400.0,Male,1815
403,Gentoo,Biscoe,53.4,15.8,219.0,5500.0,Male,1511
404,Chinstrap,Dream,50.7,19.7,203.0,4050.0,Male,1034
405,Chinstrap,Dream,52.0,20.7,210.0,4800.0,Male,1687
406,Adelie,Dream,39.2,18.6,190.0,4250.0,Male,1562
407,Chinstrap,Dream,50.1,17.9,190.0,3400.0,Female,1245
408,Gentoo,Biscoe,45.0,15.4,220.0,5050.0,Male,1127
409,Chinstrap,Dream,49.7,18.6,195.0,3600.0,Male,1390
410,Chinstrap,Dream,45.2,16.6,191.0,3250.0,Female,1535
411,Gentoo,Biscoe,45.1,14.4,210.0,4400.0,Female,1126
412,Adelie,Dream,40.3,18.5,196.0,4350.0,Male,1962
413,Gentoo,Biscoe,46.2,14.9,221.0,5300.0,Male,1635
414,Chinstrap,Dream,47.6,18.3,195.0,3850.0,Female,1744
415,Chinstrap,Dream,47.5,16.8,199.0,3900.0,Female,1907
416,Adelie,Torgersen,36.7,19.3,193.0,3450.0,Female,1391
417,Gentoo,Biscoe,49.9,16.1,213.0,5400.0,Male,1670
418,Gentoo,Biscoe,44.5,14.7,214.0,4850.0,Female,1868
419,Gentoo,Biscoe,,,,,,1035
420,Adelie,Biscoe,35.7,16.9,185.0,3150.0,Female,1697
421,Adelie,Torgersen,34.4,18.4,184.0,3325.0,Female,1849
422,Adelie,Dream,39.5,17.8,188.0,3300.0,Female,1025
423,Gentoo,Biscoe,46.8,16.1,215.0,5500.0,Male,1299
424,Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male,1970
425,Adelie,Biscoe,43.2,19.0,197.0,4775.0,Male,1725
426,Gentoo,Biscoe,50.5,15.9,225.0,5400.0,Male,1139
427,Adelie,Dream,42.3,21.2,191.0,4150.0,Male,1790
428,Adelie,Dream,39.5,17.8,188.0,3300.0,Female,1025
429,Gentoo,Biscoe,45.2,16.4,223.0,5950.0,Male,1354
430,Adelie,Dream,41.3,20.3,194.0,3550.0,Male,1220
431,Gentoo,Biscoe,50.5,15.9,222.0,5550.0,Male,1095
432,Adelie,Biscoe,35.5,16.2,195.0,3350.0,Female,1243
433,Gentoo,Biscoe,48.4,14.4,203.0,4625.0,Female,1796
434,Gentoo,Biscoe,40.9,13.7,214.0,4650.0,Female,1098
435,Gentoo,Biscoe,45.5,15.0,220.0,5000.0,Male,1969
436,Chinstrap,Dream,46.9,16.6,192.0,2700.0,Female,1799
437,Gentoo,Biscoe,46.2,14.9,221.0,5300.0,Male,1635
438,Chinstrap,Dream,50.5,18.4,200.0,3400.0,Female,1614
439,Chinstrap,Dream,50.2,18.7,198.0,3775.0,Female,1918
440,Gentoo,Biscoe,48.4,14.6,213.0,5850.0,Male,1530
441,Adelie,Torgersen,36.7,19.3,193.0,3450.0,Female,1391
442,Adelie,Dream,40.2,17.1,193.0,3400.0,Female,1349
443,Gentoo,Biscoe,47.5,15.0,218.0,4950.0,Female,1994
444,Adelie,Torgersen,35.5,17.5,190.0,3700.0,Female,1308
445,Adelie,Dream,35.6,17.5,191.0,3175.0,Female,1316
446,Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male,1970
447,Gentoo,Biscoe,42.6,13.7,213.0,4950.0,Female,1514
448,Adelie,Dream,39.6,18.1,186.0,4450.0,Male,1543
449,Gentoo,Biscoe,44.5,15.7,217.0,4875.0,,1714
450,Adelie,Biscoe,35.9,19.2,189.0,3800.0,Female,1834
451,Gentoo,Biscoe,47.5,14.2,209.0,4600.0,Female,1887
452,Adelie,Dream,40.7,17.0,190.0,3725.0,Male,1646
453,Adelie,Dream,39.6,18.8,190.0,4600.0,Male,1207
454,Adelie,Torgersen,39.2,19.6,195.0,4675.0,Male,1910
455,Adelie,Torgersen,39.3,20.6,190.0,3650.0,Male,1598
456,Adelie,Biscoe,38.8,17.2,180.0,3800.0,Male,1208
457,Chinstrap,Dream,52.8,20.0,205.0,4550.0,Male,1911
458,Adelie,Torgersen,34.6,17.2,189.0,3200.0,Female,1579
459,Adelie,Dream,41.1,19.0,182.0,3425.0,Male,1091
460,Adelie,Torgersen,41.1,17.6,182.0,3200.0,Female,1140
461,Adelie,Torgersen,39.7,18.4,190.0,3900.0,Male,1076
462,Adelie,Biscoe,37.6,19.1,194.0,3750.0,Male,1840
463,Adelie,Torgersen,42.9,17.6,196.0,4700.0,Male,1388
464,Adelie,Biscoe,38.6,17.2,199.0,3750.0,Female,1236
465,Chinstrap,Dream,49.3,19.9,203.0,4050.0,Male,1184
466,Chinstrap,Dream,51.4,19.0,201.0,3950.0,Male,1135
467,Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male,1032
468,Gentoo,Biscoe,49.4,15.8,216.0,4925.0,Male,1281
469,Adelie,Dream,37.5,18.5,199.0,4475.0,Male,1504
470,Adelie,Dream,42.3,21.2,191.0,4150.0,Male,1790
471,Gentoo,Biscoe,51.1,16.3,220.0,6000.0,Male,1858
472,Adelie,Biscoe,39.6,17.7,186.0,3500.0,Female,1801
473,Gentoo,Biscoe,59.6,17.0,230.0,6050.0,Male,1549
474,Chinstrap,Dream,4.54,1.8699999999999999,18.8,3525.0,Female,1812
475,Chinstrap,Dream,46.0,18.9,195.0,4150.0,Female,1694
476,Gentoo,Biscoe,49.9,16.1,213.0,5400.0,Male,1670
477,Adelie,Dream,41.1,19.0,182.0,3425.0,Male,1091
478,Adelie,Dream,40.6,17.2,187.0,3475.0,Male,1105
479,Chinstrap,Dream,51.4,19.0,201.0,3950.0,Male,1135
480,Chinstrap,Dream,52.2,18.8,197.0,3450.0,Male,1713
481,Adelie,Dream,37.3,16.8,192.0,3000.0,Female,1333
482,Gentoo,Biscoe,52.1,17.0,230.0,5550.0,Male,1789
483,Chinstrap,Dream,45.7,17.0,195.0,3650.0,Female,1217
484,Chinstrap,Dream,42.5,16.7,187.0,3350.0,Female,1900
485,Gentoo,Biscoe,46.5,14.8,217.0,5200.0,Female,1408
486,Adelie,Torgersen,38.5,17.9,190.0,3325.0,Female,1754
487,Gentoo,Biscoe,49.1,14.5,212.0,4625.0,Female,1478
488,Chinstrap,Dream,49.0,19.5,210.0,3950.0,Male,1742
489,Gentoo,Biscoe,47.7,15.0,216.0,4750.0,Female,1397
490,Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female,1322
491,Adelie,Biscoe,40.6,18.8,193.0,3800.0,Male,1412
492,Chinstrap,Dream,48.1,16.4,199.0,3325.0,Female,1434
493,Gentoo,Biscoe,51.3,14.2,218.0,5300.0,Male,1816
494,Chinstrap,Dream,51.5,18.7,187.0,3250.0,Male,1984
495,Chinstrap,Dream,50.0,19.5,196.0,3900.0,Male,1002
496,Gentoo,Biscoe,44.9,13.8,212.0,4750.0,Female,1841
497,Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female,1259
498,Adelie,Torgersen,34.1,18.1,193.0,3475.0,,1825
499,Chinstrap,Dream,43.2,16.6,187.0,2900.0,Female,1290
500,Gentoo,Biscoe,45.2,13.8,215.0,4750.0,Female,1924
501,Chinstrap,Dream,51.3,19.9,198.0,3700.0,Male,1085
502,Gentoo,Biscoe,48.7,15.1,222.0,5350.0,Male,1574
503,Adelie,Dream,36.9,18.6,189.0,3500.0,Female,1144
504,Gentoo,Biscoe,50.0,15.9,224.0,5350.0,Male,1182
505,Adelie,Torgersen,41.1,18.6,189.0,3325.0,Male,1569
506,Adelie,Torgersen,41.5,18.3,195.0,4300.0,Male,1371
507,Adelie,Biscoe,35.9,19.2,189.0,3800.0,Female,1834
508,Gentoo,Biscoe,55.1,16.0,230.0,5850.0,Male,1629
509,Chinstrap,Dream,45.9,17.1,190.0,3575.0,Female,1622
510,Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male,1380
511,Chinstrap,Dream,42.4,17.3,181.0,3600.0,Female,1492
512,Adelie,Torgersen,44.1,18.0,210.0,4000.0,Male,1860
513,Adelie,Dream,36.0,18.5,186.0,3100.0,Female,1940
514,Gentoo,Biscoe,46.5,14.4,217.0,4900.0,Female,1931
515,Chinstrap,Dream,58.0,17.8,181.0,3700.0,Female,1239
516,Adelie,Torgersen,45.8,18.9,197.0,4150.0,Male,1136
517,Gentoo,Biscoe,50.4,15.3,224.0,5550.0,Male,1895
518,Gentoo,Biscoe,4.2700000000000005,1.3699999999999999,20.8,3950.0,Female,1269
519,Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male,1327
520,Adelie,Torgersen,35.2,15.9,186.0,3050.0,Female,1375
521,Adelie,Torgersen,41.1,18.6,189.0,3325.0,Male,1569
522,Gentoo,Biscoe,50.8,15.7,226.0,5200.0,Male,1048
523,Adelie,Torgersen,36.7,18.8,187.0,3800.0,Female,1146
524,Gentoo,Biscoe,48.2,14.3,210.0,4600.0,Female,1547
525,Gentoo,Biscoe,47.3,15.3,222.0,5250.0,Male,1471
526,Adelie,Torgersen,34.6,17.2,189.0,3200.0,Female,1579
527,Gentoo,Biscoe,51.5,16.3,230.0,5500.0,Male,1765
528,Gentoo,Biscoe,45.2,13.8,215.0,4750.0,Female,1924
529,Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male,1639
530,Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male,1639
531,Adelie,Dream,36.4,17.0,195.0,3325.0,Female,1516
532,Gentoo,Biscoe,44.9,13.3,213.0,5100.0,Female,1747
533,Gentoo,Biscoe,43.4,14.4,218.0,4600.0,Female,1481
534,Gentoo,Biscoe,50.4,15.7,222.0,5750.0,Male,1000
535,Chinstrap,Dream,50.9,19.1,196.0,3550.0,Male,1570
536,Adelie,Torgersen,39.3,20.6,190.0,3650.0,Male,1598
537,Gentoo,Biscoe,47.8,15.0,215.0,5650.0,Male,1033
538,Adelie,Biscoe,41.3,21.1,195.0,4400.0,Male,1589
539,Chinstrap,Dream,47.0,17.3,185.0,3700.0,Female,1724
540,Adelie,Dream,37.3,17.8,191.0,3350.0,Female,1616
541,Adelie,Dream,36.0,17.9,190.0,3450.0,Female,1556
542,Gentoo,Biscoe,45.0,15.4,220.0,5050.0,Male,1127
543,Gentoo,Biscoe,42.7,13.7,208.0,3950.0,Female,1269
544,Chinstrap,Dream,45.2,16.6,191.0,3250.0,Female,1535
545,Gentoo,Biscoe,42.0,13.5,210.0,4150.0,Female,1653
546,Gentoo,Biscoe,44.5,14.7,214.0,4850.0,Female,1868
547,Adelie,Torgersen,3.7700000000000005,1.98,19.8,3500.0,Male,1524
548,Gentoo,Biscoe,48.8,16.2,222.0,6000.0,Male,1366
549,Chinstrap,Dream,52.0,19.0,197.0,4150.0,Male,1150
550,Chinstrap,Dream,52.0,20.7,210.0,4800.0,Male,1687
551,Adelie,Biscoe,40.5,18.9,180.0,3950.0,Male,1114
552,Gentoo,Biscoe,47.7,15.0,216.0,4750.0,Female,1397
553,Adelie,Biscoe,39.7,18.9,184.0,3550.0,Male,1006
554,Gentoo,Biscoe,46.2,14.5,209.0,4800.0,Female,1651
555,Adelie,Torgersen,34.1,18.1,193.0,3475.0,,1825
556,Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male,1032
557,Gentoo,Biscoe,49.8,15.9,229.0,5950.0,Male,1939
558,Gentoo,Biscoe,45.8,14.2,219.0,4700.0,Female,1445
559,Adelie,Torgersen,36.2,17.2,187.0,3150.0,Female,1839
560,Gentoo,Biscoe,4.51,1.45,21.5,5000.0,Female,1709
561,Adelie,Biscoe,42.2,19.5,197.0,4275.0,Male,1718
562,Adelie,Torgersen,38.6,21.2,191.0,3800.0,Male,1495
563,Adelie,Dream,36.6,18.4,184.0,3475.0,Female,1420
564,Gentoo,Biscoe,45.5,14.5,212.0,4750.0,Female,1655
565,Adelie,Biscoe,37.9,18.6,172.0,3150.0,Female,1238
566,Chinstrap,Dream,46.7,17.9,195.0,3300.0,Female,1295
567,Adelie,Dream,32.1,15.5,188.0,3050.0,Female,1586
568,Gentoo,Biscoe,47.2,13.7,214.0,4925.0,Female,1935
569,Adelie,Biscoe,41.4,18.6,191.0,3700.0,Male,1359
570,Gentoo,Biscoe,48.2,15.6,221.0,5100.0,Male,1513
571,Adelie,Biscoe,43.2,19.0,197.0,4775.0,Male,1725
572,Gentoo,Biscoe,46.2,14.1,217.0,4375.0,Female,1915
573,Adelie,Biscoe,42.0,19.5,200.0,4050.0,Male,1470
574,Gentoo,Biscoe,43.5,14.2,220.0,4700.0,Female,1496
575,Gentoo,Biscoe,4.84,1.6300000000000001,22.0,5400.0,Male,1855
576,Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female,1699
577,Adelie,Biscoe,40.1,18.9,188.0,4300.0,Male,1133
578,Gentoo,Biscoe,41.7,14.7,210.0,4700.0,Female,1886
579,Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male,1178
580,Adelie,Dream,41.5,18.5,201.0,4000.0,Male,1551
581,Adelie,Torgersen,39.7,18.4,190.0,3900.0,Male,1076
582,Adelie,Torgersen,37.8,17.1,186.0,3300.0,,1894
583,Adelie,Torgersen,34.6,21.1,198.0,4400.0,Male,1285
584,Gentoo,Biscoe,49.5,16.1,224.0,5650.0,Male,1152
585,Adelie,Dream,38.9,18.8,190.0,3600.0,Female,1028
586,Adelie,Torgersen,41.1,17.6,182.0,3200.0,Female,1140
587,Chinstrap,Dream,42.5,17.3,187.0,3350.0,Female,1934
588,Gentoo,Biscoe,45.8,14.6,210.0,4200.0,Female,1213
589,Adelie,Torgersen,37.7,19.8,198.0,3500.0,Male,1524
590,Gentoo,Biscoe,59.6,17.0,230.0,6050.0,Male,1549
591,Gentoo,Biscoe,50.5,15.9,222.0,5550.0,Male,1095
592,Gentoo,Biscoe,49.8,16.8,230.0,5700.0,Male,1648
593,Adelie,Torgersen,,,,,,1850
594,Gentoo,Biscoe,44.0,13.6,208.0,4350.0,Female,1395
595,Adelie,Dream,40.3,18.5,196.0,4350.0,Male,1962
596,Adelie,Biscoe,37.7,16.0,183.0,3075.0,Female,1441
597,Gentoo,Biscoe,45.8,14.2,219.0,4700.0,Female,1445
598,Chinstrap,Dream,46.6,17.8,193.0,3800.0,Female,1438
599,Adelie,Biscoe,37.8,18.3,174.0,3400.0,Female,1431
600,Gentoo,Biscoe,50.0,15.3,220.0,5550.0,Male,1488
601,Adelie,Torgersen,37.7,19.8,198.0,3500.0,Male,1524
602,Adelie,Dream,35.7,18.0,202.0,3550.0,Female,1688
603,Adelie,Dream,40.7,17.0,190.0,3725.0,Male,1646
604,Adelie,Dream,38.8,20.0,190.0,3950.0,Male,1944
605,Chinstrap,Dream,45.7,17.0,195.0,3650.0,Female,1217
606,Chinstrap,Dream,50.1,17.9,190.0,3400.0,Female,1245
607,Adelie,Dream,43.2,18.5,192.0,4100.0,Male,1015
608,Gentoo,Biscoe,49.6,15.0,216.0,4750.0,Male,1502
609,Adelie,Dream,37.0,16.5,185.0,3400.0,Female,1453
610,Chinstrap,Dream,45.6,19.4,194.0,3525.0,Female,1440
611,Gentoo,Biscoe,50.8,15.7,226.0,5200.0,Male,1048
612,Gentoo,Biscoe,50.0,15.9,224.0,5350.0,Male,1182
613,Gentoo,Biscoe,55.1,16.0,230.0,5850.0,Male,1629
614,Adelie,Biscoe,35.7,16.9,185.0,3150.0,Female,1697
615,Adelie,Biscoe,37.6,19.1,194.0,3750.0,Male,1840
616,Adelie,Dream,39.2,21.1,196.0,4150.0,Male,1975
617,Gentoo,Biscoe,47.6,14.5,215.0,5400.0,Male,1088
618,Chinstrap,Dream,47.5,16.8,199.0,3900.0,Female,1907
619,Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female,1654
620,Gentoo,Biscoe,50.0,15.2,218.0,5700.0,Male,1462
621,Adelie,Torgersen,4.3100000000000005,1.92,19.7,3500.0,Male,1970
622,Gentoo,Biscoe,48.7,14.1,210.0,4450.0,Female,1599
623,Adelie,Torgersen,40.6,19.0,199.0,4000.0,Male,1879
624,Adelie,Dream,36.0,17.8,195.0,3450.0,Female,1938
625,Gentoo,Biscoe,47.3,15.3,222.0,5250.0,Male,1471
626,Chinstrap,Dream,51.3,19.2,193.0,3650.0,Male,1803
627,Gentoo,Biscoe,48.5,14.1,220.0,5300.0,Male,1730
628,Chinstrap,Dream,49.0,19.5,210.0,3950.0,Male,1742
629,Chinstrap,Dream,46.8,16.5,189.0,3650.0,Female,1500
630,Gentoo,Biscoe,,,,,,1035
631,Adelie,Torgersen,42.0,20.2,190.0,4250.0,,1362
632,Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female,1950
633,Adelie,Dream,40.8,18.4,195.0,3900.0,Male,1222
634,Gentoo,Biscoe,48.2,15.6,221.0,5100.0,Male,1513
635,Adelie,Dream,39.6,18.1,186.0,4450.0,Male,1543
636,Adelie,Biscoe,34.5,18.1,187.0,2900.0,Female,1267
637,Gentoo,Biscoe,46.7,15.3,219.0,5200.0,Male,1040
638,Gentoo,Biscoe,46.5,14.4,217.0,4900.0,Female,1931
639,Gentoo,Biscoe,46.5,13.5,210.0,4550.0,Female,1721
640,Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female,1351
641,Gentoo,Biscoe,44.5,14.3,216.0,4100.0,,1452
642,Adelie,Biscoe,35.0,17.9,192.0,3725.0,Female,1297
643,Adelie,Biscoe,39.7,18.9,184.0,3550.0,Male,1006
644,Chinstrap,Dream,50.8,18.5,201.0,4450.0,Male,1544
645,Gentoo,Biscoe,49.1,15.0,228.0,5500.0,Male,1980
646,Adelie,Torgersen,42.1,19.1,195.0,4000.0,Male,1497
647,Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male,1212
648,Adelie,Biscoe,42.7,18.3,196.0,4075.0,Male,1377
649,Gentoo,Biscoe,51.3,14.2,218.0,5300.0,Male,1816
650,Chinstrap,Dream,50.7,19.7,203.0,4050.0,Male,1034
651,Gentoo,Biscoe,47.2,15.5,215.0,4975.0,Female,1686
652,Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male,1882
653,Adelie,Biscoe,37.6,17.0,185.0,3600.0,Female,1129
654,Chinstrap,Dream,51.9,19.5,206.0,3950.0,Male,1741
655,Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male,1178
656,Adelie,Torgersen,39.2,19.6,195.0,4675.0,Male,1910
657,Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male,1327
658,Gentoo,Biscoe,48.4,14.6,213.0,5850.0,Male,1530
659,Adelie,Dream,36.8,18.5,193.0,3500.0,Female,1936
660,Chinstrap,Dream,50.3,20.0,197.0,3300.0,Male,1785
661,Adelie,Biscoe,35.0,17.9,190.0,3450.0,Female,1963
662,Gentoo,Biscoe,45.5,13.9,210.0,4200.0,Female,1909
663,Adelie,Dream,37.0,16.5,185.0,3400.0,Female,1453
664,Adelie,Dream,3.96,1.8800000000000001,19.0,4600.0,Male,1207
665,Adelie,Dream,41.1,17.5,190.0,3900.0,Male,1746
666,Adelie,Dream,36.0,17.1,187.0,3700.0,Female,1985
667,Chinstrap,Dream,51.0,18.8,203.0,4100.0,Male,1777
668,Adelie,Biscoe,37.7,18.7,180.0,3600.0,Male,1154
669,Gentoo,Biscoe,46.4,15.6,221.0,5000.0,Male,1568
670,Chinstrap,Dream,47.0,17.3,185.0,3700.0,Female,1724
671,Adelie,Torgersen,35.7,17.0,189.0,3350.0,Female,1284
672,Gentoo,Biscoe,50.2,14.3,218.0,5700.0,Male,1675
673,Adelie,Biscoe,37.8,18.3,174.0,3400.0,Female,1431
674,Adelie,Dream,37.3,16.8,192.0,3000.0,Female,1333
675,Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female,1204
676,Gentoo,Biscoe,45.2,14.8,212.0,5200.0,Female,1711
677,Adelie,Dream,33.1,16.1,178.0,2900.0,Female,1871
678,Gentoo,Biscoe,47.3,13.8,216.0,4725.0,,1587
679,Adelie,Biscoe,35.0,17.9,190.0,3450.0,Female,1963
680,Gentoo,Biscoe,46.9,14.6,222.0,4875.0,Female,1168
681,Chinstrap,Dream,48.5,17.5,191.0,3400.0,Male,1815
682,Adelie,Torgersen,36.6,17.8,185.0,3700.0,Female,1795
683,Gentoo,Biscoe,44.9,13.8,212.0,4750.0,Female,1841
684,Adelie,Dream,36.0,17.9,190.0,3450.0,Female,1556
685,Chinstrap,Dream,52.2,18.8,197.0,3450.0,Male,1713
686,Adelie,Dream,40.8,18.9,208.0,4300.0,Male,1193
687,Chinstrap,Dream,50.5,19.6,201.0,4050.0,Male,1700
688,Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male,1882
689,Gentoo,Biscoe,48.4,16.3,220.0,5400.0,Male,1855
690,Adelie,Dream,35.7,18.0,202.0,3550.0,Female,1688
691,Gentoo,Biscoe,48.5,15.0,219.0,4850.0,Female,1817
692,Gentoo,Biscoe,46.7,15.3,219.0,5200.0,Male,1040
693,Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female,1351
694,Gentoo,Biscoe,49.5,16.2,229.0,5800.0,Male,1147
695,Chinstrap,Dream,45.2,17.8,198.0,3950.0,Female,1643
696,Gentoo,Biscoe,55.9,17.0,228.0,5600.0,Male,1196
697,Gentoo,Biscoe,45.5,15.0,220.0,5000.0,Male,1969
698,Gentoo,Biscoe,45.1,14.5,215.0,5000.0,Female,1709
699,Adelie,Biscoe,42.0,19.5,200.0,4050.0,Male,1470
700,Chinstrap,Dream,51.7,20.3,194.0,3775.0,Male,1214
701,Gentoo,Biscoe,47.5,14.2,209.0,4600.0,Female,1887
702,Adelie,Biscoe,35.3,18.9,187.0,3800.0,Female,1425
703,Gentoo,Biscoe,43.6,13.9,217.0,4900.0,Female,1148
704,Adelie,Torgersen,39.1,18.7,181.0,3750.0,Male,1889
705,Gentoo,Biscoe,43.3,13.4,209.0,4400.0,Female,1775
706,Gentoo,Biscoe,49.0,16.1,216.0,5550.0,Male,1844
707,Gentoo,Biscoe,48.7,15.7,208.0,5350.0,Male,1309
708,Gentoo,Biscoe,46.5,13.5,210.0,4550.0,Female,1721
